,1.0,1.02,1.1,1.11,1.2,Lite 1.30,1.3,1.4,1.51,1.6,1.7,1.80,1.93,2.00,2.111,SZ 2017,GDW 2019,SZ 2022,2.2
229,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
230,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
231,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
232,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
233,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
234,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
235,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
236,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
237,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
238,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
239,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
240,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
241,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
242,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
243,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,hidden,hidden,hidden,hidden,hidden
244,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,hidden,hidden,hidden,hidden,hidden
245,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
246,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
247,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,hidden,hidden,hidden,hidden,hidden
248,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,hidden,hidden,hidden,hidden,hidden
249,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,hidden,hidden,hidden,hidden,hidden
250,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,hidden,hidden,hidden,hidden,hidden
251,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,hidden,hidden,hidden,hidden,hidden
252,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,hidden,hidden,hidden,hidden,hidden
253,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,hidden,hidden,hidden,hidden,hidden
254,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,hidden,hidden,hidden,hidden,hidden
255,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
